CODE	NAME	KOMMENT
362	В урологии оказаны медицинские услуги: Мужчине с диагнозами N70-N98, N99.2, N99.3 или Женщине с диагнозами N40-N51	Проверьте счет на корректность пола или набора медицинских услуг
291	"Поле ""Диагноз сопутствующего заболевания"" не соответствует справочнику"	Приведите значение в поле в соответствии со справочником
292	"Поле ""Код ОКАТО территории постоянной регистрации"" не заполнено"	Заполните реквизит
293	"Поле ""Код ОКАТО территории постоянной регистрации"" не соответствует справочнику"	Приведите значение в поле в соответствии со справочником
294	"Поле ""Статус пациента"" не заполнено"	Заполните реквизит
295	"Поле ""Статус пациента"" не соответствует справочнику"	Приведите значение в поле в соответствии со справочником
296	"Поле ""Код ОКАТО территории страхования по ОМС"" не заполнено"	Заполните реквизит
297	"Поле ""Код ОКАТО территории страхования по ОМС"" не соответствует справочнику"	Приведите значение в поле в соответствии со справочником
298	"Поле ""ОГРН СМО, выдавшей полис"" не заполнено"	Заполните реквизит
299	"Поле ""ОГРН СМО, выдавшей полис"" не соответствует справочнику"	Приведите в соответствие со справочником значение в поле
801	"Поле ""Дата начала действия полиса ОМС"" не заполнено"	Заполните реквизит
802	"Поле ""Дата окончания полиса ОМС"" не заполнено"	Заполните реквизит
803	"Поле ""Дата окончания полиса ОМС"" для летального случая не является датой смерти пациента"	Приведите в соответствие период действия полиса и дату смерти пациента
804	"Поле ""Статус представителя пациента"" не заполнено"	Заполните реквизит
805	"Поле ""Статус представителя пациента"" не соответствует справочнику"	Приведите в соответствие со справочником значение в поле
806	"Поле ""Признак особый случай при регистрации пациента"" заполнено некорректно"	Проверьте значение в поле на недопустимые символы или кол-во особых случаев
807	"Поле ""Фамилия родителя (представителя) пациента"" не заполнено"	Заполните реквизит
808	"Поле ""Фамилия родителя (представителя) пациента"" заполнено некорректно, поле содержит недопустимые символы"	Проверьте значение в поле
809	"Поле ""Имя родителя (представителя) пациента"" не заполнено"	Заполните реквизит
810	"Поле ""Имя родителя (представителя) пациента"" заполнено некорректно, поле содержит недопустимые символы"	Проверьте значение в поле
811	"Поле ""Отчество родителя (представителя) пациента"" не заполнено"	Заполните поле
812	"Поле ""Отчество родителя (представителя) пациента"" заполнено некорректно, поле содержит недопустимые символы"	Проверьте значение в поле
813	"Поле ""Код типа документа, удостоверяющего личность пациента (представителя)"" не заполнено"	Заполните реквизит
814	"Поле ""Код типа документа, удостоверяющего личность пациента (представителя)"" не соответствует справочнику"	Приведите в соответствие со справочником значение в поле
815	"Поле ""Серия документа, удостоверяющего личность пациента (представителя)"" не заполнено"	Заполните реквизит
816	"Поле ""Номер документа, удостоверяющего личность пациента (представителя)"" не заполнено"	Заполните реквизит
817	"Поле ""Наименование района по месту регистрации пациента"" не заполнено"	Заполите реквизит
818	"Поле ""Наименование района по месту регистрации пациента"" заполнено некорректно, поле содержит недопустимые символы"	Проверьте значение в поле
819	"Поле ""Код вида населенного пункта"" не заполнено"	Заполние поле
820	"Поле ""Код вида населенного пункта"" не соответствует справочнику"	Приведите в соответствие со справочником значение в поле
821	"Поле ""Наименование населенного пункта"" не заполнено"	Заполните поле
822	"Поле ""Наименование населенного пункта"" заполнено некорректно, поле содержит недопустимые символы"	Проверьте значение в поле
823	"Поле ""Код типа наименования улицы"" не соответствует справочнику"	Приведите в соответствие со справочником значение в поле
824	"Поле ""Дом"" не заполнено"	"Заполните реквизит ""Дом"""
825	"Поле ""Дом"" заполнено некорректно, поле содержит недопустимые символы"	Проверьте значение в поле
826	"Поле ""Место работы/учебы пациента"" не заполнено"	Заполните место работы или учебы пациента
363	На пациента по одному профилю койки было оказано несколько СОМП	Исправьте счет
364	На пациента по одному отделению было представлено несколько услуг Койко-день	Исправьте счет
365	"Услуга ""B01.069.03-Оказание МП в приемном отделении"" оказана не в стационаре"	Исправьте счет
366	Оказанная медицинская услуга не соответсвует виду медицинской помощи	Исправьте счет
367	В персональном счете указаны разные виды медицинской помощи	Исправьте счет
368	"Значение в поле ""Дата окончания лечения"" не соответствует периоду"	Исправьте счет
369	Перевыполнение муниципального заказа	Исправьте счет
540	Уточнить территорию страхования	Уточнить территорию страхования
541	Привести в соответствие	Привести в соответсвие
548	Обосновать объем оказанных мед услуг	Представить выписку из первичной мед документации
551	Дублирование ранее отправленного счета из одного подразделения МО	Удалить повторно выставленный счет
552	Применить стандарт ОМП в соответствии с длительностью лечения	Представить счет в соответствии с п.5.3.3.Положения о порядке информационного обмена в системе ОМС и п.2.2.1. Положения о порядке оплаты мед/пом. в системе ОМС
555	Дублирование поликлинического счета в период стационарного лечения в одном лечебном учреждении	удалить дублирующую услугу
557	Обосновать необходимость оказанного объема медицинских услуг	Представить выписку из первичной мед.документации
558	Не заполнены паспортные данные и ФИО одного из родителей	Внести отсутствующие данные матери или отца
564	Пересечение по периоду лечения в одной МО	Исключить дублирование услуг
569	Обосновать частоту (кратность) посещения	Выставить счет с учетом необходимости объема оказанной мед.помощи и представить выписку
570	Диагноз не соответсвует состоянию пациента	Уточнить диагноз по первичной медицинской документации
571	Полис пациента принадлежит другому лицу	Уточнить данные полиса указанного в счете застрахованного
572	Представить копию полиса и паспорта	Представить ксерокопию полиса и паспорта
827	Не выполнен набор простых услуг, входящих в комплексное посещение Центра здоровья	Сформируйте персональный счет верно с учетом набора простых услуг
828	Пациент в этом году уже проходил услугу комплексного посещения Центра здоровья	Исключите счет из реестра
829	Пациенту выставлена услуга динамического наблюдения без услуги комплексного посещения Центра здоровья	Исключите счет из реестра
830	В счете представлена услуга комплексного посещения или динамического наблюдения Центра здоровья более 1 раза	Проверьте количество услуг
831	Данный персональный счет был выставлен в рамках Дополнительной диспансеризации работающих граждан	Исключите счет из реестра
